,sample1,sample2,sample3,sample4
ENSG00000004059,7.796536012,7.666918517,7.394924911,7.84101594
ENSG00000004139,5.181814046,5.332767818,5.574272345,5.220035038
ENSG00000004142,7.563883044,7.647869615,7.487352075,7.359098751
ENSG00000004399,6.368412381,6.303349093,6.175718036,5.826308772
ENSG00000004455,8.577485377,8.662521982,7.842248895,8.325203041
ENSG00000004478,8.191226067,8.095112832,7.502052541,7.735143749
ENSG00000004487,8.213717657,8.251613308,8.067329639,8.035179097
ENSG00000004534,6.610135921,6.577002326,6.661121021,6.685199282
ENSG00000004660,3.89262949,3.867434733,3.811480283,3.760652254
ENSG00000004700,6.452355563,6.547791745,6.650562227,6.608753404
ENSG00000004766,6.120806,5.958911504,6.160377581,6.30550671
ENSG00000004777,4.443445933,4.584577658,4.699702696,4.537782937
ENSG00000004779,6.588803071,6.717168145,6.381648231,6.390086601
ENSG00000004799,5.279671087,5.425491703,5.869455491,5.665912966
ENSG00000004864,6.919887466,7.124386866,6.970638282,7.105814591
ENSG00000004866,5.724720263,5.898215428,5.875313427,5.944921503
ENSG00000004897,6.990458347,7.181849033,7.273758816,7.473006504
ENSG00000004961,4.688374388,4.760655477,4.664800469,4.618096582
ENSG00000004975,5.767897419,5.963816429,6.099405325,6.014322898
ENSG00000005001,5.308326859,5.250425342,5.622333604,5.477935384
ENSG00000005007,7.399941888,7.304194274,7.084300306,7.09927511
ENSG00000005020,7.574805928,7.46466812,7.830565641,7.738743661
ENSG00000005022,9.707237869,9.719152467,9.080803664,9.090676018
ENSG00000005059,3.497933191,3.496133195,3.432470658,3.506163501
ENSG00000005073,6.231340245,6.402110143,6.687034545,6.658148401
ENSG00000005075,6.090946417,6.153864741,6.117357497,6.091776592
ENSG00000005100,5.956465347,5.961986793,5.867054131,6.025103075
ENSG00000005156,7.174651535,7.581809959,7.508963221,6.937443049
ENSG00000005175,6.659168516,6.716947154,7.000976397,7.07624938
ENSG00000005187,5.738100703,5.757422419,5.624510118,5.390049376
ENSG00000005189,3.564149523,3.589513448,3.50192826,3.462722181
ENSG00000005194,6.041597909,6.098082782,5.891108339,5.921154557
ENSG00000005206,6.587557927,6.631710656,6.679327518,6.11397974
ENSG00000005238,4.377966089,4.366307722,4.381075921,4.403920604
ENSG00000005243,1.482754998,1.549535138,1.543375367,1.518101689
ENSG00000005302,4.266894649,4.319779904,4.322146124,4.411427773
ENSG00000005339,7.799658887,7.57308293,7.913679998,8.049259628
ENSG00000005379,3.763463084,3.562309492,3.533112178,3.734481707
ENSG00000005436,5.002477446,4.908274672,5.062256753,5.494013228
ENSG00000005448,5.771817513,5.696344766,5.570697764,5.67474075
ENSG00000005469,4.67869248,4.760753133,4.58033489,5.134313565
ENSG00000005471,2.009617933,2.034217088,2.00175418,2.014810286
ENSG00000005483,8.005081517,7.820731324,8.122902226,8.066670339
ENSG00000005486,6.504324554,6.585150896,6.436612599,6.343122748
ENSG00000005700,7.512596112,7.603691896,7.938620752,7.764467027
ENSG00000005801,6.616025033,6.66556709,6.500820898,6.929312636
ENSG00000005810,7.60015068,7.559111468,7.936907953,7.993165133
ENSG00000005812,7.002912201,7.018906275,7.180298847,7.273097095
ENSG00000005882,5.957168495,5.745208281,6.204272115,6.473202877
ENSG00000005884,8.521226437,8.7739522,9.104319516,8.766879632
ENSG00000005889,6.778878808,6.524682239,6.78535857,6.717412692
ENSG00000005893,7.920446399,7.8346482,8.464639289,8.483253969
ENSG00000006007,8.336361566,8.152226999,8.533692459,8.22782896
ENSG00000006015,4.35728154,4.467621621,4.446276506,4.253143733
ENSG00000006025,5.059799686,5.097412775,5.164627475,5.209272857
ENSG00000006047,3.368038917,3.349218167,3.487313392,3.420422701
ENSG00000006062,4.083002353,4.104780128,4.191871034,4.200070637
ENSG00000006118,5.544879714,5.488076202,5.686657081,5.384567642
ENSG00000006125,10.19973936,10.12240054,10.41410819,10.22877521
ENSG00000006194,6.488576764,6.472715578,6.551296028,6.23092865
ENSG00000006210,2.744495954,2.75569579,2.729168769,2.67703595
ENSG00000006282,5.920690864,6.105215334,6.044888097,5.903006915
ENSG00000006327,7.103298337,7.261255362,7.17410129,6.725926795
ENSG00000006432,5.855627032,5.913347556,5.865837505,5.907207572
ENSG00000006451,7.351300537,7.408339746,7.431654846,7.469507312
ENSG00000006453,7.874562361,7.830032812,8.005021992,8.151969125
ENSG00000006459,4.571969905,4.806806039,4.782751088,4.772604565
ENSG00000006468,4.499765419,4.510425528,4.597109413,4.776650193
ENSG00000006530,6.173404814,6.401402284,6.390844232,6.346077818
ENSG00000006534,7.743755788,7.730601087,7.220729032,7.267989916
ENSG00000006555,5.301009,5.31703301,5.278208838,5.102734726
ENSG00000006576,5.949626485,6.15035856,6.234699294,6.15572894
ENSG00000006607,7.74375001,7.631537365,7.545047709,7.69016026
ENSG00000006611,7.005263914,7.009003202,7.599274912,6.600162793
ENSG00000006625,7.54617684,7.530968095,6.981756297,7.311967091
ENSG00000006634,6.363931,6.521188648,6.038493495,6.807231741
ENSG00000006652,6.284001699,6.623032274,6.881805907,7.226461199
ENSG00000006695,4.832152022,4.857820427,4.770433058,4.84340325
ENSG00000006704,6.27672236,6.760198132,6.310398773,6.182152154
ENSG00000006712,7.401568099,7.47759042,7.302790414,7.257834961
ENSG00000006715,7.277640983,7.15395445,7.628109628,7.77365766
ENSG00000006744,6.482727918,6.356247567,6.118500445,6.289720828
ENSG00000006747,3.692818884,3.680751072,3.83580801,3.824475975
ENSG00000006756,7.386826717,7.818827105,8.368614699,7.962187931
ENSG00000006757,3.866653341,4.093160899,4.11841479,3.867980714
ENSG00000006831,8.124928594,8.155958398,8.144096006,8.191893903
ENSG00000007047,5.818418568,5.856359273,6.322334996,5.753095087
ENSG00000007062,7.845233157,7.785206558,7.628250894,7.321871092
ENSG00000007080,5.548747463,5.47409767,5.263051661,5.248004434
ENSG00000007168,8.104302006,8.133638526,8.085846913,8.238526429
ENSG00000007202,9.26642345,9.11462778,9.577272832,9.096714829
ENSG00000007255,5.537677385,5.437255215,5.348684743,5.229290732
ENSG00000007341,4.525150525,4.676472255,4.47274214,4.643275915
ENSG00000007376,5.895141163,5.85733864,5.638657529,5.534523058
ENSG00000007384,8.152665049,7.527246892,8.063313153,7.716413305
ENSG00000007392,5.578173139,5.653233094,5.549553843,5.691439167
ENSG00000007516,5.676587404,5.757933902,5.5949003,5.991163749
ENSG00000007520,5.821570389,5.781565204,5.556168837,5.593767056
ENSG00000007541,6.204213747,6.137896082,6.374810711,6.210882611
ENSG00000007545,5.984224601,5.938495983,6.182411202,5.750607512
ENSG00000007866,6.577057254,6.615097833,6.653851015,6.553992842
ENSG00000007923,6.924558694,7.047414541,6.826736746,6.517806687
ENSG00000007944,5.685872355,5.688642807,5.852205175,5.93988009
ENSG00000007952,5.961110216,6.063164733,5.815204373,5.79773124
ENSG00000007968,3.998247807,3.951421247,3.769901253,3.873246388
ENSG00000008018,8.066242869,8.000225969,7.662738255,7.602702484
ENSG00000008083,5.516869425,5.482691401,5.556659714,5.414552649
ENSG00000008086,5.72639046,5.682097928,5.483939961,5.751165464
ENSG00000008128,5.718804176,5.340313444,5.423911189,5.688249613
ENSG00000008130,7.28748747,7.059719582,7.348436551,7.138099482
ENSG00000008256,5.168389188,5.121176162,5.434039715,5.384351681
ENSG00000008277,6.040524594,6.104574666,6.190876475,6.319339104
ENSG00000008282,8.775921397,8.781919769,8.803719564,9.097708611
ENSG00000008283,7.651910689,7.559753879,7.276648388,7.28224652
ENSG00000008294,7.148902907,7.403882603,8.00522462,8.038689757
ENSG00000008300,6.177091367,6.327572349,6.50459521,6.519081957
ENSG00000008311,1.703628377,1.725995471,1.716480087,1.784401019
ENSG00000008323,5.558023873,5.502489471,5.559407372,5.082557819
ENSG00000008324,4.154675138,3.937823046,3.886489319,3.866188605
ENSG00000008382,4.200979883,4.221206471,4.124980514,4.116096102
ENSG00000008394,7.618470972,7.680160474,7.515199938,8.157285864
ENSG00000008405,4.899912972,4.910483032,4.88816936,4.805931719
ENSG00000008441,6.557431744,6.62850829,6.629012973,6.853683096
ENSG00000008513,9.316633639,9.317761438,8.709234166,8.191207646
ENSG00000008710,7.31725246,6.686055759,7.298087133,7.057594631
ENSG00000008838,6.973753495,6.724128082,6.933472142,7.081506948
ENSG00000008853,4.219983054,4.404197134,4.338313298,4.302849961
ENSG00000008869,5.933725777,5.865209722,6.382726842,6.357819154
ENSG00000008952,8.583654325,8.432545993,8.805099777,8.480745776
ENSG00000008988,10.10184234,9.923254735,9.542593682,9.910106248
ENSG00000009307,10.59721728,10.28625486,10.36296514,10.20890569
ENSG00000009335,8.873289313,8.840067883,8.629433283,8.692617748
ENSG00000009413,5.055555183,5.254829476,5.801771819,5.956902035
ENSG00000009724,1.689114119,1.715364527,1.714769648,1.672999414
ENSG00000009765,3.759316182,3.639537474,3.68109276,3.681876996
ENSG00000009780,4.681834168,4.594742075,4.750178773,4.648706366
ENSG00000009830,4.953534419,5.146747356,5.05627522,4.79426788
ENSG00000009844,7.160297817,7.113041217,7.343529446,7.382905284
ENSG00000009950,1.413190516,1.406776056,1.460529096,1.408633575
ENSG00000009954,8.782329754,8.772566484,8.649236585,8.936299773
ENSG00000010017,7.190064782,7.269628228,7.416857856,7.573316112
ENSG00000010030,2.405700436,2.421461149,2.415957146,2.468688173
ENSG00000010072,5.344853284,5.258563605,5.117650572,5.217134598
ENSG00000010165,6.34824736,6.358635989,6.365875598,6.023827621
ENSG00000010219,2.596685999,2.54847281,2.545066179,2.541430323
ENSG00000010244,8.94860841,9.140523722,9.108281809,9.294015319
ENSG00000010256,7.367971578,7.298859955,7.335051722,6.924748436
ENSG00000010270,6.071731063,6.00687614,6.095785549,6.136503167
ENSG00000010278,8.427612408,8.429263036,8.768021804,8.828461694
ENSG00000010292,8.682121117,8.440258291,7.975899272,8.583617737
ENSG00000010310,3.434274853,3.428210908,3.617402295,3.653854617
ENSG00000010318,2.355708836,2.289286027,2.404401483,2.271166292
ENSG00000010319,1.962250606,1.79404505,1.786163485,1.811440046
ENSG00000010322,7.125136466,6.623967533,6.876697796,6.781013706
ENSG00000010404,7.959958767,8.08234567,8.358914481,8.507727886
ENSG00000010438,5.259572431,5.280153542,4.78044507,5.084611183
ENSG00000010539,4.358738293,4.482648308,4.464167333,4.397043178
ENSG00000010610,3.151584561,3.157641283,3.294884893,3.308373243
ENSG00000010626,2.402064522,2.334697318,2.365271681,2.393497223
ENSG00000010704,5.433298624,5.611533048,5.482033237,5.615801085
ENSG00000010803,6.098321485,6.236006036,6.361429495,6.190472265
ENSG00000010810,5.135244499,5.211594412,5.932009127,5.156752557
ENSG00000010818,6.345076519,6.480769526,6.83576618,6.562661077
ENSG00000011007,7.753119015,7.726723703,7.708003286,7.895439516
ENSG00000011009,7.174456073,7.221877695,6.967720977,6.848127218
ENSG00000011021,4.681520879,4.798533513,4.83192007,4.61254096
ENSG00000011052,4.706505429,4.557983517,4.625474696,4.212152123
ENSG00000011105,5.639065491,5.667732915,5.686535548,5.595731179
ENSG00000011132,3.46498832,3.437299115,3.343281087,3.464666052
ENSG00000011143,4.478712802,4.310166023,4.562145283,4.43191895
ENSG00000011198,5.064821648,4.837324131,4.976721861,4.952549888
ENSG00000011243,6.09397734,5.817926153,6.028683118,5.77074968
ENSG00000011258,6.328042685,6.464964411,6.535441659,6.682649691
ENSG00000011260,6.398596596,6.498318944,6.214514369,6.163718539
ENSG00000011275,6.365095823,6.642708194,6.743325459,6.694143854
ENSG00000011295,5.615268523,5.71949597,5.855681972,5.796999769
ENSG00000011304,9.644523056,9.410515732,8.647856231,8.84591393
ENSG00000011347,6.64118895,6.693500964,7.153624677,7.258559367
ENSG00000011376,5.85503129,5.734291277,5.623356379,5.508317202
ENSG00000011405,8.522689485,9.223066282,9.146987918,8.944704919
ENSG00000011422,5.848813797,5.871236195,5.381754398,5.612015061
ENSG00000011426,8.519527768,8.182147573,7.819472807,8.606461457
ENSG00000011451,5.938823932,5.880686489,5.742984513,5.697630411
ENSG00000011454,7.615685775,7.912020786,8.286196459,8.124631989
ENSG00000011478,4.724712174,4.809174418,4.566113835,4.585612822
ENSG00000011485,7.62664971,7.774717844,7.46240018,7.616295546
ENSG00000011523,4.872334179,4.794550931,5.10536378,5.026488042
ENSG00000011566,6.061298226,6.114406179,6.477945776,6.46621105
ENSG00000011638,6.017157082,5.901576888,5.778059266,5.834679936
ENSG00000012048,7.224838066,7.332222865,6.625540927,7.170056641
ENSG00000012061,7.10620486,6.917710431,6.87555429,6.534457317
ENSG00000012171,6.819498045,6.717960082,6.866767128,6.935642257
ENSG00000012174,5.528188816,5.449504599,5.811533155,5.819253306
ENSG00000012211,4.903967834,4.671988263,4.660096628,4.570924097
ENSG00000012232,5.270788263,5.196369479,5.633439384,5.685413274
ENSG00000012822,7.211081061,7.141816886,7.46421561,7.632604357
ENSG00000012963,6.210656226,6.300741289,6.112694705,6.310320866
ENSG00000012983,6.711923909,6.345445714,6.280399973,6.446146409
ENSG00000013275,7.759318051,7.888147956,7.513715441,7.39081433
ENSG00000013288,7.449177523,7.662638239,7.892249245,7.71957924
ENSG00000013306,7.6445722,7.658410846,7.466427478,7.145459179
ENSG00000013364,7.60554385,7.465747966,7.641082899,7.596304018
ENSG00000013374,7.762000411,7.941233113,8.436804923,8.267888424
ENSG00000013375,6.729353396,7.243144077,7.940342001,7.212295313
ENSG00000013392,3.976994605,3.861128093,3.98573389,3.947257247
ENSG00000013441,6.175069763,5.763218995,6.051288267,5.973556872
ENSG00000013503,4.953874855,4.908921704,5.016859724,4.785219666
ENSG00000013523,5.313312388,5.433189228,5.428599117,5.426128136
ENSG00000013561,6.177496569,6.153301028,6.364950793,6.339339264
ENSG00000013563,6.320959192,6.469751843,6.547964065,6.161026262
ENSG00000013573,7.308483907,7.043854338,6.690077115,7.021495636
ENSG00000013583,4.43088847,4.514234701,4.501277248,4.653185235
ENSG00000013588,9.276106313,9.306532786,9.246817172,9.02341936
ENSG00000013810,7.673252102,7.62641585,6.978900355,7.462559007
ENSG00000014123,6.625146627,6.673136777,7.083721065,7.057890664
ENSG00000014138,5.665561067,5.595495092,5.106325705,5.176022903
ENSG00000014164,5.542203196,5.351329032,5.434723813,5.360050236
ENSG00000014216,9.528328717,9.499619552,9.175910585,8.939999064
ENSG00000014257,3.573045925,3.545510047,3.686977402,3.66068357
ENSG00000014641,7.40825651,7.408245682,7.406669845,7.480167327
ENSG00000014824,7.731848653,7.791070121,8.036647806,7.92653785
ENSG00000014914,5.248447506,5.252614075,4.782446494,5.182598755
ENSG00000014919,6.627068963,6.641046301,6.432354221,6.829597342
ENSG00000015133,6.929361895,7.110391022,6.920931703,6.602918813
ENSG00000015153,4.599187316,4.660342178,4.646748866,4.945613498
ENSG00000015171,7.560066727,7.511534213,7.937679848,7.733030807
ENSG00000015413,4.012503897,4.176857817,3.860763243,3.75116195
ENSG00000015475,6.493239935,6.387042804,6.004935123,6.199120563
ENSG00000015479,8.908934834,9.424494249,9.592649278,9.747633614
ENSG00000015532,5.302894062,5.319900829,5.410564645,5.369964837
ENSG00000015568,3.396848063,3.355831611,3.216097605,3.23131723
ENSG00000015676,7.170446044,7.410940047,7.108629917,7.293266005
ENSG00000016082,5.482148447,5.424940697,5.522370401,5.631697567
ENSG00000016391,5.698513204,5.727983297,5.457689759,5.964881033
ENSG00000016402,4.898970491,5.040422149,4.903569157,5.036208989
ENSG00000016864,5.650467975,5.801877954,5.755053906,5.869593143
ENSG00000017260,8.261964699,8.330141669,8.585729924,8.504235921
ENSG00000017483,4.414091441,4.503441414,4.13230615,4.090918524
ENSG00000017797,8.479019647,8.428611998,8.693011902,8.530038117
ENSG00000018189,6.076782848,5.942763533,5.97958209,5.779521883
ENSG00000018510,7.471671272,7.708584675,7.642599568,7.27827755
ENSG00000018610,5.462983677,5.601151285,5.801869372,5.489130363
ENSG00000018699,5.297370963,5.420585784,5.226597988,5.334003397
ENSG00000019102,7.39408326,7.514987169,7.273717263,7.294351953
ENSG00000019144,8.643402167,8.675467632,8.172970529,7.970841078
ENSG00000019186,2.306307419,2.33677765,2.208162606,2.194692634
ENSG00000019485,2.739728704,2.693353352,2.679647377,2.853219842
ENSG00000019505,4.221124428,4.174202932,4.374614457,4.291666102
ENSG00000019582,4.620558131,4.576092177,4.526174182,4.652331782
ENSG00000019995,6.396005634,6.31098325,6.429851203,6.569863861
ENSG00000020129,6.631212336,6.30402899,6.165240919,5.996736059
ENSG00000020256,5.92748591,5.719360035,5.723488402,5.728971742
ENSG00000020426,4.503861158,4.43556498,4.410072977,4.334289224
ENSG00000020577,5.296091767,5.682551415,5.738218513,5.582203739
ENSG00000020922,6.932606836,7.141266991,6.696047353,6.760989473
ENSG00000021300,6.57788298,6.477246742,6.602585547,6.730751989
ENSG00000021355,8.763349015,8.918019938,9.549261495,9.176257546
ENSG00000021574,6.413620546,6.427024354,6.595909114,6.503422193
ENSG00000021762,6.687542402,6.483651706,6.221652309,6.46737256
ENSG00000021776,7.960326519,8.167837295,7.980905817,8.018669232
ENSG00000022277,7.845396745,7.896578986,7.882425392,7.722355675
ENSG00000022567,7.648966298,7.556666117,8.048463056,7.951081741
ENSG00000022840,8.530933831,8.3859901,8.682539801,8.439566949
ENSG00000022976,3.94014881,3.88700851,3.849809209,3.813604806
ENSG00000023041,6.385274401,6.732681829,6.435037872,6.759913841
ENSG00000023171,7.468091461,7.400392732,6.961827307,6.986425612
ENSG00000023228,8.112515054,8.136369549,7.990433873,8.015827601
ENSG00000023287,7.512129726,7.642521584,8.136993253,8.00921102
ENSG00000023318,6.909286114,7.075523894,7.31261215,7.352138137
ENSG00000023330,6.618069889,6.514761209,6.410206011,6.492960863
ENSG00000023445,4.0651625,4.176344407,4.256824515,4.414987861
ENSG00000023516,8.150506014,8.331623801,8.620866785,8.515097006
ENSG00000023572,5.402725197,5.268995171,5.231791496,5.303818292
ENSG00000023608,3.39775474,3.428615849,3.497171302,3.426846277
ENSG00000023697,6.021255358,6.098874714,6.025477615,6.086479704
ENSG00000023734,8.492582408,8.514095981,8.319354394,8.356526731
ENSG00000023892,3.379756748,3.169412831,3.227254996,3.175307744
ENSG00000023909,6.852024604,6.448638444,7.162466718,6.734610263
ENSG00000024048,6.754440545,6.702453702,7.065409603,7.046405534
ENSG00000024422,7.263458661,7.012312135,6.760063118,7.00646795
ENSG00000024526,6.743305313,6.533455336,6.458088538,6.711968
ENSG00000024862,5.293648795,5.3434613,5.512014636,5.624384485
ENSG00000025156,5.015130985,5.006634309,5.339884524,5.146931279
ENSG00000025293,7.93081721,7.776945676,7.678184216,7.781605516
ENSG00000025434,6.568671511,6.398761761,6.157843863,5.860067882
ENSG00000025708,3.211221813,3.272004464,3.297565382,3.163362048
ENSG00000025770,5.742003119,5.865960568,5.571702498,5.837478373
ENSG00000025772,7.159915355,7.278929742,7.072396594,7.124667253
ENSG00000025796,7.706782684,7.795116059,7.843400918,8.197333248
ENSG00000025800,7.787222152,7.68328556,7.849181136,7.943433516
ENSG00000026036,3.462392777,3.534687107,3.542130392,3.418046819
ENSG00000026103,3.811911085,3.995145304,3.913671502,4.241265899
ENSG00000026297,8.088073579,8.128534424,8.004787378,8.372363202
ENSG00000026508,9.689744628,9.773194712,9.832820932,9.755784394
ENSG00000026652,2.677139509,2.412956272,2.548888259,2.432284571
ENSG00000026950,4.400656292,4.280176874,4.368806255,4.478547454
ENSG00000027001,6.282117657,6.237112241,5.93394277,6.117742718
ENSG00000027075,5.54845519,5.630169518,5.745411474,5.67315793
ENSG00000027697,7.058486295,7.119042326,7.107185644,7.228043542
ENSG00000027847,4.205039661,4.174440795,4.306900192,4.091854896
ENSG00000028116,5.562569602,5.49237527,5.487863559,5.5791726
ENSG00000028203,6.861901192,7.012752953,7.427153052,7.125177975
ENSG00000028310,6.938730869,6.984062585,7.137859473,7.189889343
ENSG00000028528,8.084562138,7.993233022,8.351055801,7.926509134
ENSG00000028839,5.498355031,5.624169272,5.617553099,5.287431846
ENSG00000029153,7.15900603,7.089756419,7.2468608,7.161740657
ENSG00000029363,9.27463352,8.821055562,8.768188323,8.505073744
ENSG00000029364,7.620951685,7.566791764,7.769367963,7.520067048
ENSG00000029639,4.280067453,3.96039628,3.793362295,3.826936134
ENSG00000029725,6.788464721,6.73769686,6.983155795,6.750667373
ENSG00000029993,7.660833577,7.486004862,6.734614495,7.234146452
ENSG00000030066,8.054550542,8.148872153,7.670990304,7.888662885
ENSG00000030110,5.775570293,5.762245846,5.614334793,5.503236579
ENSG00000030419,5.791148296,5.855464035,5.769621089,5.567236223
ENSG00000030582,9.301229951,9.258756745,9.602003942,9.393270695
ENSG00000031003,6.497382588,6.665180722,6.795833503,6.868467712
ENSG00000031691,4.735638566,4.742353078,4.577622768,4.848753262
ENSG00000031698,7.888614851,8.365176319,8.355642696,8.132196208
ENSG00000031823,5.751906098,5.882347554,5.969340224,5.993732852
ENSG00000032219,6.218605084,5.910376091,5.827551325,6.243883385
ENSG00000032389,6.162272804,6.070164559,5.853884634,5.733335885
ENSG00000032444,6.217779176,6.411851893,6.475830301,6.088475604
ENSG00000032742,6.430320793,6.190260233,6.601090133,6.59997835
ENSG00000033011,5.925492608,6.065826099,5.79102464,5.800585441
ENSG00000033030,6.248861867,6.289135113,6.465179736,6.517350053
ENSG00000033050,6.694924345,6.795627694,6.299569558,6.188010692
ENSG00000033100,7.053118715,6.866835288,7.042956012,6.682756201
ENSG00000033170,3.833717803,3.964616824,4.064015062,3.970430227
ENSG00000033178,7.640085732,7.69332584,7.642240594,7.748130383
ENSG00000033327,3.633167235,3.817427287,3.789558094,3.694358903
ENSG00000033627,6.581333206,6.655720977,7.119646999,6.953553515
ENSG00000033800,7.596513209,7.822069247,7.983352474,7.921641146
ENSG00000033867,5.177436345,5.290396596,5.248288824,5.416775723
ENSG00000034152,6.93638402,6.869980641,6.671013228,6.667794966
ENSG00000034510,10.73633575,10.73075723,10.27204908,10.13074704
ENSG00000034533,2.882608251,2.924319293,2.875845651,2.980361163
ENSG00000034677,6.426659845,6.117306007,6.634742336,6.544669538
ENSG00000034693,4.772181367,4.712924423,4.747674713,4.648344426
ENSG00000034713,7.006443676,6.921579341,7.173902923,7.242477945
ENSG00000035115,7.054279253,7.103969088,6.959229676,7.118266862
ENSG00000035141,7.477744864,7.372175493,7.109682356,7.3818727
ENSG00000035403,7.724223694,8.017595475,8.152200886,8.047087809
ENSG00000035499,5.68656955,5.651263299,5.479570624,5.493511707
ENSG00000035664,1.895007455,1.853548988,1.933556319,1.890721307
ENSG00000035681,5.472090937,5.788951218,5.710580988,5.749535471
ENSG00000035687,7.557119608,7.514483886,7.352323382,7.21032887
ENSG00000035862,7.545939703,7.370102321,8.330909455,8.29944406
ENSG00000035928,7.993331478,7.675942571,7.779279693,8.039340824
ENSG00000036054,6.409235984,6.463454619,6.874261683,6.653346379
ENSG00000036257,8.097970205,7.878592749,8.047087396,8.205924643
ENSG00000036549,7.204231068,7.278683715,7.214368469,7.0866318
ENSG00000036672,2.32933641,2.34244509,2.47774551,2.490568197
ENSG00000036828,3.472777673,3.476364951,3.592556609,3.628324325
ENSG00000037042,4.252730807,4.24224892,4.434374855,4.392973441
ENSG00000037241,4.7433708,4.821281233,4.83396633,4.719523457
ENSG00000037474,7.734228524,7.630325068,7.55787496,7.440743159
ENSG00000037637,6.244508829,6.190502963,6.446392068,5.982663033
ENSG00000037749,5.50059139,5.606934147,5.790910667,5.555464588
ENSG00000037757,3.810513926,3.932167433,3.871007203,4.025799266
ENSG00000037897,4.149445379,4.237850802,4.132214479,4.124651888
ENSG00000038002,4.289496253,4.10648926,4.343148221,4.196113819
ENSG00000038210,6.45864115,6.743268018,6.853427745,6.685920562
ENSG00000038219,7.419501554,7.609377315,8.108144523,7.916854554
ENSG00000038274,7.495664996,7.406156643,7.515720617,7.580732465
ENSG00000038358,7.335652553,6.901749302,7.178100853,6.792585967
ENSG00000038382,7.620489854,7.827759514,7.844574463,7.663924043
ENSG00000038532,6.323176311,6.163688526,6.383732917,6.611278412
ENSG00000039068,9.994961112,9.927805254,10.28928065,10.06540253
ENSG00000039123,7.88327373,8.07764094,7.623408547,7.789451935
ENSG00000039139,2.78901809,2.769778104,2.706752346,2.681429993
ENSG00000039319,7.517985207,7.32508901,7.983586029,8.287483668
ENSG00000039523,6.433166677,6.591044317,6.352304495,6.213270112
ENSG00000039560,6.885782258,6.734081847,6.780631248,6.766598096
ENSG00000039650,6.007240828,7.243763788,6.108261219,5.694764123
ENSG00000040199,6.752666925,6.63774383,7.09922781,6.942578462
ENSG00000040275,5.678528222,5.586918626,5.550639741,6.026678432
ENSG00000040341,7.04317501,7.206240248,7.481514897,7.622637516
ENSG00000040487,3.952591287,3.881229564,3.902286965,3.859858324
ENSG00000040531,4.27390043,4.306608012,4.223343141,4.30737266
ENSG00000040608,4.974056862,4.967510467,5.005725796,5.099618973
ENSG00000040633,5.441213872,5.536846893,5.505681397,5.388676606
ENSG00000040933,6.186887121,5.830400248,6.09169838,5.87303558
ENSG00000041353,6.30016969,6.373746522,6.692619021,6.701038198
ENSG00000041357,8.772130373,8.711983783,8.529205891,8.6663338
ENSG00000041802,6.675303467,6.580606071,6.476721031,6.533103135
ENSG00000041880,3.658663989,3.672460569,3.751037277,3.672323362
ENSG00000041982,1.447877084,1.453593435,1.537581064,1.417660007
